"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGD5",1.16725090714527e-28,-0.376832275282893,0.161,0.113,3.86488447864872e-24
"SNAP29",1.16875528271524e-28,-0.38260792621399,0.306,0.221,3.86986561659843e-24
"ZNF268",1.23949337293873e-28,-0.38773434221371,0.146,0.102,4.10408650713744e-24
"RNF126",1.257203267056e-28,-0.397651097402575,0.257,0.184,4.16272573754913e-24
"SEPTIN2",1.40611455569387e-28,-0.272941030024799,0.732,0.659,4.65578590535797e-24
"SUPT20H",1.58175469046563e-28,-0.259401441311528,0.337,0.247,5.23734795560076e-24
"LIN37",1.92353661726106e-28,-0.416110783327651,0.144,0.1,6.36902209341308e-24
"ADA",1.97746229461307e-28,-0.460677081089381,0.117,0.079,6.54757540369334e-24
"MYO1F",2.00671378269329e-28,0.26191344504902,0.111,0.074,6.64443000587575e-24
"GRPEL1",2.03994481691148e-28,-0.322048599413968,0.299,0.215,6.7544612832756e-24
"GOLGA8B",2.22023815628372e-28,-0.296067880116085,0.327,0.238,7.35143055927101e-24
"ENSG00000254459",2.30397823046659e-28,-0.346288014465073,0.137,0.095,7.62870231889792e-24
"TULP2",3.34762490895465e-28,-1.74978328760224,0.127,0.156,1.10843208360397e-23
"EML1",3.78902711801774e-28,-0.523073379409793,0.237,0.169,1.25458476904685e-23
"PRKACA",3.82504433742172e-28,-0.955323994720054,0.36,0.345,1.2665104305637e-23
"NOD1",3.94260275939202e-28,-0.37704620236959,0.382,0.277,1.30543519966229e-23
"LRRC8A",4.43376292861936e-28,-0.39645308675653,0.333,0.242,1.46806324329516e-23
"MED1",4.50921213103162e-28,-0.364548783400347,0.293,0.213,1.49304522870588e-23
"SS18L2",4.65941820899192e-28,-0.365492776522812,0.287,0.208,1.54277996317931e-23
"GARNL3",5.57047667647192e-28,-0.425710170698395,0.256,0.186,1.84444053234662e-23
"LINC00598",5.66317486843943e-28,-1.18736306771156,0.169,0.197,1.87513383068898e-23
"GABPA",5.67384358197674e-28,-0.427827140593827,0.25,0.181,1.87866634842832e-23
"NADK2",6.91947256228244e-28,-0.447791496827904,0.222,0.159,2.29110656009734e-23
"MAFF",7.10099583329273e-28,-0.741822262089643,0.387,0.385,2.35121073036155e-23
"MIB2",7.55544855473174e-28,-0.519966967651335,0.203,0.144,2.50168457095723e-23
"PDLIM5",7.63927188065455e-28,-0.375763037814515,0.745,0.563,2.52943931240353e-23
"SPACA6",7.68337154911212e-28,-0.778441213455892,0.285,0.202,2.54404115362652e-23
"HMGCS1",7.92115848208196e-28,-0.286891253054934,0.378,0.28,2.62277478500216e-23
"NT5C",8.09855945431486e-28,-0.620509479253519,0.396,0.386,2.68151402091819e-23
"GAB1",9.17405076513683e-28,-1.02668586806538,0.395,0.375,3.03761994884445e-23
"TP53INP2",9.5121771601543e-28,-1.59812414903104,0.072,0.102,3.14957697949869e-23
"CYTOR",9.72309188744342e-28,-1.20562303528736,0.33,0.321,3.21941295485139e-23
"GTF2F1",1.01500336970709e-27,-1.06020615708883,0.267,0.276,3.36077765743713e-23
"GMPPA",1.20557150365647e-27,-0.280874360011392,0.162,0.115,3.99176780575693e-23
"TMEM80",1.46572390163625e-27,-0.638129404141744,0.207,0.146,4.85315841070777e-23
"POLDIP2",1.5231173744019e-27,-0.34969355844531,0.324,0.233,5.04319393838213e-23
"DENND6A-AS1",1.60403093812082e-27,-0.414461882748569,0.11,0.074,5.31110683921185e-23
"PDCD2",1.66095294178003e-27,-1.0363663363063,0.276,0.282,5.49958128552786e-23
"ZBTB4",1.82129821654395e-27,-1.14103130167552,0.26,0.269,6.03050052479867e-23
"LBR",2.34473654833481e-27,-0.385480817516535,0.284,0.206,7.76365718519139e-23
"ENSG00000284797",2.57066570674786e-27,-1.80107464166595,0.181,0.122,8.51173122161283e-23
"RILPL1",4.41114442056719e-27,-1.14068734784234,0.236,0.252,1.460574029094e-22
"HYI",6.28962897160216e-27,-1.19906314115642,0.275,0.278,2.08255904878719e-22
"ATP13A3",7.15696193392409e-27,-0.311676757554403,0.648,0.477,2.3697416659416e-22
"MAP9",7.24874045210258e-27,-0.313001807396495,0.273,0.201,2.40013045109568e-22
"METTL25",7.38186297168108e-27,-0.514387320130397,0.215,0.156,2.44420864855332e-22
"PMEPA1",7.93841708719932e-27,-0.548743042320321,0.373,0.387,2.62848928174257e-22
"GNPDA1",8.28628958465922e-27,-0.510399394418352,0.265,0.19,2.74367334437652e-22
"NOL7",8.33678133183852e-27,-0.412168425730805,0.509,0.475,2.76039166678505e-22
"FNIP2",9.21814827357784e-27,-1.09514519086154,0.196,0.223,3.05222107486436e-22
"MTARC2",9.50471236233571e-27,-1.27801519020529,0.148,0.176,3.14710531029298e-22
"SNAPIN",1.07715615939306e-26,-0.429778998146024,0.257,0.185,3.56657175936635e-22
"AMMECR1L",1.13745323471357e-26,-0.499040844236857,0.197,0.141,3.76622140546009e-22
"CCDC102B",1.14657438287218e-26,-1.38399747559534,0.101,0.131,3.79642243912809e-22
"ARSK",1.24877490961979e-26,-0.353449396755047,0.137,0.096,4.13481860324208e-22
"DESI1",1.35433765208095e-26,-0.265260324101102,0.264,0.192,4.48434739980523e-22
"SPRYD3",1.38459394704124e-26,-0.479586661774571,0.135,0.093,4.58452901804825e-22
"SRGAP2B",1.46321089120588e-26,-1.25145285449669,0.191,0.214,4.84483758187178e-22
"MAP3K3",1.63199522951705e-26,-0.557900913108595,0.301,0.216,5.40369940445392e-22
