"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTMR6",7.52320547881542e-142,-0.382165404123344,0.168,0.129,2.49100856609057e-137
"ATP2B1-AS1",8.2409366207533e-142,-0.927367071113724,0.108,0.137,2.72865652449763e-137
"JARID2",1.12133003840111e-141,-0.564248519270046,0.431,0.441,3.7128358901499e-137
"PPP1R16A",4.34369426628873e-141,-0.838943111936354,0.132,0.162,1.43824060851086e-136
"BCL3",6.79897878905485e-141,-0.790646636207008,0.083,0.112,2.25120986684395e-136
"TBC1D17",1.44465068421629e-140,-0.71718134285769,0.08,0.11,4.78338288050857e-136
"SCGB2B2",2.2177600332169e-140,-0.567614121206862,0.082,0.112,7.34322524598447e-136
"SIRPA",3.09161266899323e-140,-1.02493802901157,0.078,0.105,1.02366387083035e-135
"FCHO2",4.74351953163067e-140,-0.272285411182414,0.26,0.213,1.57062675211823e-135
"ANKZF1",1.12790004384415e-139,-0.751839108640577,0.072,0.1,3.73458983517237e-135
"MTAP",3.89250484963412e-139,-0.275083185492953,0.298,0.238,1.28884728076235e-134
"NKTR",1.08257882536661e-138,-0.306199638414723,0.515,0.425,3.58452674867139e-134
"SELENOI",1.15681487475959e-138,-0.832553200654214,0.18,0.213,3.83032973181647e-134
"BRD9",1.21044087991016e-138,-0.298826840591762,0.224,0.182,4.00789079747052e-134
"CNNM4",2.77793432859044e-138,-0.568593394514449,0.073,0.102,9.1980183553958e-134
"HELLS",4.58890241619761e-138,-1.19378989851999,0.074,0.101,1.51943147902719e-133
"ATP6V1A",6.88390988211755e-138,-0.870232496025572,0.211,0.242,2.27933140106794e-133
"BTN3A2",1.72344620184566e-137,-1.0211858625913,0.205,0.232,5.70650271893117e-133
"TDRD7",2.09248087087578e-137,-0.894102835125455,0.084,0.113,6.9284134115568e-133
"UNC13B",2.18009990920908e-137,0.329808236871246,0.138,0.108,7.21852880938218e-133
"MAN1A2",2.32897880554023e-137,-0.319661678737912,0.449,0.367,7.71148172302425e-133
"BTN3A1",2.34043005487977e-137,-0.91649776905728,0.142,0.173,7.7493979547124e-133
"KDM2B",2.73266678327609e-137,-0.810497183513755,0.199,0.233,9.04813298610547e-133
