"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FOXN3",3.92908330837595e-75,0.258845246597581,0.72,0.722,1.30095877423636e-70
"ZNF22",5.76138462765387e-75,-0.290565756185278,0.108,0.169,1.90765206406247e-70
"STAT5A",5.77101473342039e-75,0.85701776763365,0.147,0.097,1.91084068838283e-70
"ENSG00000280878",6.31645201091611e-75,0.513494103686365,0.163,0.111,2.09144042533443e-70
"BMI1",7.45313738654811e-75,-0.365248756399779,0.058,0.104,2.46780832005994e-70
"CARD8",8.92028109460988e-75,0.649015796333353,0.246,0.186,2.95359427323628e-70
"ARL4A",1.36369727999029e-74,-0.703627075615993,0.08,0.13,4.51533806377585e-70
"NAXE",1.49829744909743e-74,-0.353171371023432,0.079,0.132,4.96101268370651e-70
"LINC00963",1.960278025623e-74,1.2897612915955,0.118,0.074,6.49067657064031e-70
"SLC3A2",2.41875629628826e-74,0.8485763433104,0.254,0.205,8.00874397264007e-70
"TMEM62",2.73200682204492e-74,0.932330891930513,0.121,0.075,9.04594778847293e-70
"FH",3.57444932921994e-74,-0.332806977249674,0.058,0.104,1.18353591739801e-69
"EXOC2",6.03376800531662e-74,0.6468698225776,0.289,0.232,1.99784092424039e-69
"SUSD3",1.40479380990739e-73,0.906296619804923,0.181,0.131,4.65141278398435e-69
"DIS3L",1.72487641123811e-73,-0.254324662318878,0.056,0.101,5.71123828525052e-69
"EHBP1L1",2.71022809543746e-73,1.23570799505082,0.138,0.091,8.97383624680298e-69
"MT2A",3.0158078351135e-73,-0.666854445862591,0.506,0.444,9.98564132284431e-69
"KLHL2",3.66801733509975e-73,0.899216794071483,0.152,0.102,1.21451721982488e-68
"SCAMP2",7.08692139655893e-73,0.817295294728985,0.205,0.152,2.34655054361463e-68
"GATD3",8.01590824145739e-73,-0.390178087997604,0.069,0.118,2.65414737782896e-68
"ZNF736",1.36333122244875e-72,-0.252311357891195,0.064,0.111,4.51412601065004e-68
"C1orf56",1.50032997810337e-72,-0.790147511869318,0.08,0.13,4.96774259049808e-68
"GCH1",1.60685630455036e-72,0.527357560883788,0.185,0.127,5.3204619099967e-68
"MAN1A1",2.38927195131067e-72,0.648586324320681,0.315,0.261,7.91111835798476e-68
"ARF5",3.91888448777569e-72,-0.314598694163388,0.111,0.171,1.29758184274741e-67
"HTATIP2",1.00960742238195e-71,1.00163433956344,0.109,0.066,3.34291113624889e-67
"PITHD1",3.14754635757723e-71,-0.358045754347737,0.122,0.183,1.0421840744574e-66
"GLTP",3.47444663108514e-71,-0.303448010247272,0.088,0.142,1.1504240240186e-66
"NAA16",5.83718101124679e-71,-0.303207319353166,0.119,0.179,1.93274900463392e-66
"MTM1",7.61617979243801e-71,0.949032347176938,0.193,0.143,2.52179329107415e-66
"ZBTB21",9.4564081001399e-71,-0.372404535017975,0.061,0.107,3.13111128603732e-66
"JUN",1.6161705615613e-70,-0.373235428572317,0.685,0.732,5.35130234638562e-66
"OGDH",1.99081908914827e-70,0.786756521020203,0.28,0.23,6.59180108607883e-66
"NIN",2.49618031247138e-70,0.619081042619248,0.318,0.262,8.265102632624e-66
"EML2",4.6807687751159e-70,1.10151916523452,0.129,0.084,1.54984934912862e-65
"PSMG1",9.63225260629129e-70,-0.29312757022816,0.059,0.104,3.18933516046911e-65
"XPO6",1.44462328550598e-69,0.757953118276457,0.272,0.221,4.78329216063886e-65
"OGA",1.46959533260498e-69,0.518718737858406,0.464,0.432,4.86597710578836e-65
"NME1",3.37684428961283e-69,-0.317743858932236,0.117,0.176,1.1181069127337e-64
"TNFSF14",3.55496829342374e-69,0.59350124872359,0.122,0.076,1.17708555163553e-64
