"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.69165231582528,0.537,0.127,0,"Normal","SERPINE2"
0,2.28970977710735,0.803,0.394,0,"Normal","EPS8"
0,2.02037070854503,0.5,0.091,0,"Normal","MMP2"
0,2.40183368895014,0.602,0.193,0,"Normal","DDR2"
0,2.94537617307161,0.487,0.078,0,"Normal","CACNB2"
0,4.09721968758987,0.494,0.086,0,"Normal","SYTL4"
0,3.30140037710625,0.514,0.108,0,"Normal","ENG"
0,1.76408680116873,0.654,0.248,0,"Normal","COL4A1"
0,1.82001249556479,0.516,0.112,0,"Normal","ZEB1"
0,2.27043933999368,0.627,0.224,0,"Normal","PPP1R14A"
0,3.00853168515621,0.712,0.31,0,"Normal","GREB1"
0,4.73365735397869,0.435,0.034,0,"Normal","PTGIS"
0,1.0359830531803,0.617,0.219,0,"Normal","SYNPO2"
0,3.67520171684874,0.481,0.083,0,"Normal","KCND2"
0,4.82418088340942,0.423,0.025,0,"Normal","ITM2A"
0,1.99808096655511,0.62,0.224,0,"Normal","SDC2"
0,2.7008388820072,0.556,0.16,0,"Normal","MRC2"
0,2.435314714854,0.66,0.265,0,"Normal","LRP1"
0,2.45109138281238,0.802,0.409,0,"Normal","NR2F2"
0,2.22163170804046,0.678,0.288,0,"Normal","EPB41L2"
0,3.39649348285526,0.503,0.113,0,"Normal","ANK2"
0,3.35637823841484,0.511,0.121,0,"Normal","GRK5"
0,2.96791406238908,0.481,0.091,0,"Normal","NDN"
0,2.15749080318695,0.556,0.174,0,"Normal","EMP3"
0,3.63237255047735,0.431,0.049,0,"Normal","NID2"
0,2.83135863815759,0.83,0.448,0,"Normal","TCEAL4"
0,2.77965734981502,0.533,0.152,0,"Normal","TLE4"
0,1.894168416132,0.675,0.295,0,"Normal","FILIP1L"
0,3.0471877201395,0.47,0.09,0,"Normal","DAB2"
0,3.44350778499488,0.596,0.216,0,"Normal","HTRA1"
0,1.89638064437564,0.745,0.367,0,"Normal","DST"
0,3.78933861971868,0.41,0.033,0,"Normal","JAM3"
0,2.91664957848314,0.578,0.202,0,"Normal","LTBP4"
0,3.60846471125809,0.421,0.047,0,"Normal","ECM2"
0,2.08219783459778,0.758,0.387,0,"Normal","MCC"
0,2.7083314480853,0.488,0.117,0,"Normal","CASC15"
0,4.45880340825976,0.413,0.043,0,"Normal","PPARG"
0,2.25872363691685,0.58,0.211,0,"Normal","ANXA6"
0,4.26260597535321,0.413,0.045,0,"Normal","COLEC11"
0,2.39465161462559,0.842,0.474,0,"Normal","TPM2"
0,5.83098789318264,0.377,0.011,0,"Normal","PLA2G5"
0,5.85791379763232,0.38,0.015,0,"Normal","ADAMTS16"
0,3.96430785465486,0.435,0.07,0,"Normal","FXYD1"
0,4.72828130124964,0.492,0.128,0,"Normal","KCNIP4"
0,3.12391498272342,0.658,0.295,0,"Normal","IGFBP5"
0,2.88444864194156,0.465,0.105,0,"Normal","PDLIM3"
0,4.50633728022211,0.429,0.069,0,"Normal","TNXB"
0,4.0817772124075,0.435,0.076,0,"Normal","IGF1"
0,1.96008653271995,0.7,0.342,0,"Normal","FCGRT"
0,3.19753998201664,0.463,0.106,0,"Normal","NLGN1"
0,1.55691846301207,0.757,0.401,0,"Normal","COL4A2"
0,1.62421520382546,0.737,0.383,0,"Normal","TCF4"
0,3.49824295388979,0.46,0.107,0,"Normal","EFEMP1"
0,2.59414036931056,0.425,0.072,0,"Normal","SERPINE1"
0,2.19456954555733,0.838,0.488,0,"Normal","FHL2"
0,4.58250345903435,0.383,0.033,0,"Normal","CLDN11"
0,2.16344325998175,0.593,0.243,0,"Normal","CAVIN1"
0,4.01204648181106,0.412,0.063,0,"Normal","RNASE4"
0,6.05845695827133,0.357,0.008,0,"Normal","ABCA9"
0,3.13286696053426,0.411,0.063,0,"Normal","ANTXR2"
0,4.77388443441883,0.376,0.029,0,"Normal","PGR"
0,3.5809586179689,0.402,0.056,0,"Normal","CD302"
0,3.95216178795036,0.368,0.023,0,"Normal","LETR1"
0,5.7356001747627,0.37,0.025,0,"Normal","CCN5"
0,2.78520701758592,0.543,0.199,0,"Normal","P3H2"
0,1.84765998057461,0.837,0.497,0,"Normal","EID1"
0,3.86111088031385,0.362,0.023,0,"Normal","TRPC6"
0,4.9967303682812,0.354,0.015,0,"Normal","NOVA1"
0,1.97619281392525,0.513,0.175,0,"Normal","COL12A1"
0,2.20431581591658,0.618,0.28,0,"Normal","SAT2"
0,1.85096110923417,0.775,0.438,0,"Normal","EIF3F"
0,3.67985508058712,0.384,0.048,0,"Normal","OLFML3"
0,1.73768542098556,0.817,0.481,0,"Normal","C12orf57"
0,1.7166654148623,0.655,0.32,0,"Normal","AKAP12"
0,3.1917829561702,0.559,0.225,0,"Normal","CCDC80"
0,5.51959072101202,0.342,0.008,0,"Normal","FGF7"
0,3.07407377857888,0.497,0.163,0,"Normal","SLC7A2"
0,3.07851884824865,0.425,0.091,0,"Normal","NLGN4X"
0,2.3328116844339,0.488,0.154,0,"Normal","ARHGAP6"
0,1.35960596929919,0.659,0.327,0,"Normal","MARCKS"
0,1.48235897798299,0.659,0.329,0,"Normal","SELENOM"
0,2.29204401978379,0.569,0.239,0,"Normal","TUBB6"
0,2.79254708491214,0.391,0.062,0,"Normal","ZNF521"
0,1.58356627521115,0.928,0.6,0,"Normal","LGALS1"
0,2.13427078690193,0.625,0.297,0,"Normal","PRKN"
0,3.00158945574888,0.437,0.111,0,"Normal","GLI2"
0,1.84360327183814,0.586,0.26,0,"Normal","NBL1"
0,2.50473315588294,0.729,0.403,0,"Normal","C1R"
0,3.54764782743385,0.402,0.077,0,"Normal","ROBO2"
0,3.41060756840318,0.398,0.074,0,"Normal","SYNGR1"
