"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOXL3",7.15817943799919e-07,-0.818133463999603,0.053,0.115,0.0237014479371591
"CTSC",7.3271054248018e-07,0.740600999102133,0.596,0.615,0.0242607787720612
"PLEKHJ1",7.32857475808162e-07,-0.5793274863878,0.062,0.129,0.024265643881484
"DENND4B",7.3505342660752e-07,-0.47897161455187,0.131,0.22,0.0243383540084016
"PTPN4",7.36240094656543e-07,-0.489374845793384,0.061,0.127,0.0243776457741728
"JDP2",7.40894957667269e-07,-0.277140082511705,0.155,0.25,0.024531772943321
"VPS41",7.50683063729e-07,-0.261470730457358,0.256,0.38,0.0248558669231309
"NBAS",7.6724738478949e-07,-0.302116149323474,0.225,0.335,0.0254043281577648
"HNRNPU",7.70721413427058e-07,-0.27220414664044,0.497,0.618,0.0255193567199833
"PGAP1",7.82474763174367e-07,-0.788257780701301,0.042,0.1,0.0259085218834665
"HNRNPH2",7.82865637890109e-07,-0.336506919978812,0.148,0.244,0.0259214641361794
"ZNF26",7.93661879251279e-07,-0.677465659373011,0.042,0.1,0.0262789384838891
"PPWD1",7.98230255327796e-07,-0.526334811410871,0.058,0.123,0.0264302019841587
"SLC10A7",7.99563965899575e-07,-0.402754234734612,0.092,0.169,0.0264743624749008
"TGIF1",8.25505488392037e-07,-0.377001406208254,0.148,0.242,0.0273333122261487
"RHBDD1",8.28653607265123e-07,-0.57296214016852,0.107,0.187,0.0274375495901555
"KPNB1",8.2976648746568e-07,-0.260963603739707,0.292,0.418,0.0274743981664761
"PIGN",8.51191822709076e-07,-0.401625082929828,0.11,0.192,0.0281838124417202
"BTD",8.69073017554641e-07,-1.15889455831084,0.044,0.101,0.0287758766842517
"SNHG12",8.70112145991423e-07,2.08747962094256,0.148,0.09,0.028810283265922
"APOBR",8.82761731877663e-07,1.35624353683736,0.143,0.083,0.0292291237042013
"NONO",8.84736210850191e-07,-0.293735670252242,0.157,0.256,0.0292945006774607
"RBM4",8.890556545611e-07,-0.331295862762782,0.157,0.254,0.0294375217781726
"RTRAF",9.35700744721369e-07,-0.375872193544321,0.25,0.359,0.0309819873584692
"COMMD8",9.37378311611134e-07,-0.567625701040984,0.089,0.164,0.0310375332757563
"ARHGAP4",9.39397717177836e-07,-0.36014008908411,0.255,0.369,0.0311043978134753
"ARHGEF40",9.41801263900832e-07,-0.491328200310664,0.06,0.125,0.0311839816490205
"MYADM",9.47427291295489e-07,-0.506403717611255,0.196,0.291,0.0313702650420849
"LINC01374",9.67069943402031e-07,-0.516980898640665,0.058,0.121,0.0320206528959846
"KBTBD2",9.74147917085573e-07,-0.464058695986829,0.115,0.197,0.0322550116826204
"UBE3C",9.98572943928561e-07,-0.273640587461062,0.253,0.368,0.0330637487464186
"FGGY",1.0067551357515e-06,1.3967431679389,0.21,0.145,0.0333346692998679
"AGGF1",1.01107551108882e-06,-0.327226620419038,0.095,0.173,0.033477721247662
"ARHGAP45",1.0202173986919e-06,-0.751285667935938,0.132,0.214,0.0337804182880875
"PPP1R15A",1.03405049016783e-06,0.64176796695157,0.564,0.523,0.0342384457799469
"SETD7",1.03562998028642e-06,-0.383661476945825,0.077,0.148,0.0342907442772638
"PRCP",1.04120135888831e-06,-0.486878923274172,0.189,0.292,0.0344752181941509
"MNAT1",1.04256069013537e-06,-0.526269452837075,0.101,0.178,0.0345202270110722
"SNN",1.04410803213366e-06,-0.457455011425455,0.072,0.141,0.0345714610519776
"CNOT6",1.06011651699191e-06,-0.542624128593803,0.083,0.155,0.035101517994119
"TCN2",1.09359305485559e-06,-1.1804380210534,0.064,0.129,0.0362099596393235
"TECPR1",1.12374938427543e-06,-0.789368245885093,0.06,0.124,0.0372084658627439
"SPATA13",1.12588100016903e-06,-0.306031312457172,0.086,0.159,0.0372790457965969
"POLR2H",1.1405184189014e-06,1.45367623640498,0.155,0.096,0.0377637053682444
"RCN3",1.14325786282674e-06,-0.562182915504172,0.069,0.137,0.037854411096056
"TAP1",1.14932940682345e-06,1.15959783502437,0.198,0.133,0.0380554459893314
"SPIRE1",1.15681418139935e-06,1.05113427467022,0.334,0.273,0.0383032743603138
"PTPN18",1.18584111440705e-06,-0.479815910811437,0.189,0.282,0.039264385139132
"DCAF12",1.18604895479856e-06,-0.702531807720518,0.072,0.14,0.039271266942335
"ENG",1.18793445846842e-06,0.868626253743099,0.4,0.348,0.0393336978543478
"SLCO2B1",1.22436713635591e-06,0.546317030777193,0.465,0.396,0.0405400202518806
"ZDHHC3",1.25635236597799e-06,-0.745462501940488,0.076,0.143,0.0415990831898972
"SLC25A33",1.26461648602411e-06,-0.360487114098922,0.096,0.174,0.0418727164687442
"BMPR1A",1.26997020837762e-06,1.72298522880449,0.114,0.061,0.0420499835695915
"ODC1",1.2704188192273e-06,-0.508023530747607,0.084,0.157,0.0420648375234351
"USO1",1.32141361878642e-06,-0.276648847096671,0.248,0.362,0.0437533263316372
"RBBP7",1.32557689328331e-06,-0.71994350911667,0.076,0.144,0.0438911765135036
"SF3B5",1.34759768682693e-06,-0.37066553088881,0.212,0.318,0.0446203070085264
"WLS",1.37807869491637e-06,-0.477818030472718,0.103,0.181,0.045629563667376
"SNX17",1.37966793955166e-06,-0.632984836297472,0.119,0.198,0.0456821851464951
"AFTPH",1.41156238100616e-06,-0.292238312619388,0.242,0.35,0.0467382419974949
"CLPTM1L",1.42626523857158e-06,-0.465390152965234,0.102,0.181,0.0472250683143436
"UGGT1",1.42627182280627e-06,-0.363279826155526,0.14,0.23,0.0472252863249385
"DHX36",1.44864023684955e-06,-0.333728412899502,0.21,0.317,0.0479659268823254
"ENSG00000287100",1.46430915951714e-06,-0.693867529201744,0.062,0.125,0.0484847405807721
"SMIM3",1.46516132198482e-06,-0.854493513118202,0.044,0.1,0.0485129565322395
"TUG1",1.47375038777754e-06,-0.366385360374471,0.09,0.166,0.0487973490897023
"GDAP2",1.55261449434969e-06,-0.395364799294359,0.101,0.179,0.0514086185224125
"DPYSL2",1.5920675923991e-06,-0.404221497087298,0.199,0.3,0.0527149500519265
"RBL2",1.60529131167551e-06,-0.580631135463731,0.101,0.177,0.0531528006208877
"VPS51",1.62422191782619e-06,-0.613340566622333,0.083,0.153,0.0537796119211431
"AKIRIN2",1.65060033135402e-06,-0.355619608398659,0.258,0.369,0.0546530275714631
"SLC39A13",1.65441459180288e-06,1.24006631161224,0.104,0.052,0.0547793215491851
"MRPS14",1.65547515815213e-06,-0.678642293369372,0.052,0.112,0.0548144379615752
"TBC1D2B",1.66067321392405e-06,1.01071299630627,0.239,0.173,0.0549865507862392
"NIBAN2",1.6801823436955e-06,0.954990421175613,0.212,0.142,0.0556325175821016
"PCBD1",1.69161531024899e-06,1.17224219065051,0.208,0.145,0.0560110745376542
"FOXK2",1.75432298574976e-06,-0.523937877323646,0.206,0.305,0.0580873883811602
"LINC02785",1.75677859610132e-06,-0.694202078333342,0.054,0.114,0.0581686960955109
"ETFDH",1.77250304604409e-06,-0.269572794695032,0.046,0.104,0.0586893483575659
"RFX7",1.79916726212863e-06,-0.330469133451266,0.154,0.244,0.0595722272163411
"SLC11A2",1.81807491990287e-06,1.06991814110871,0.317,0.257,0.060198278672904
"ANAPC5",1.81901855690066e-06,-0.416471067894074,0.175,0.271,0.0602295234375377
"COX7A2L",1.82284168492692e-06,-0.403005607895785,0.197,0.292,0.0603561110296152
"SIAH2",1.89616440538708e-06,-0.689829198882637,0.068,0.132,0.0627838996267717
"APBB1IP",1.90403384241106e-06,-0.315720193147191,0.441,0.55,0.0630444645560727
"ATP6V1H",1.91427044019445e-06,0.767256793227916,0.393,0.331,0.0633834085452785
"OSTF1",1.92606676982078e-06,-0.293158900215924,0.334,0.45,0.0637739968155357
"CAPRIN1",1.96146728999578e-06,-0.391731833648325,0.199,0.296,0.0649461434390503
"CMKLR1",1.96526811336219e-06,-0.681352547525748,0.103,0.178,0.0650719925015354
"SEC24A",2.05376201648523e-06,-0.617056612827079,0.103,0.18,0.0680021141278424
"EPB41L2",2.13398676590397e-06,0.663893610124606,0.419,0.341,0.0706584358058463
"RBM12",2.14615598052281e-06,-0.634683353953911,0.06,0.121,0.0710613706710907
"SASH1",2.15900076504999e-06,0.804506455737502,0.382,0.321,0.0714866743315702
"TRIB1",2.19175947435519e-06,-0.459020620493111,0.112,0.191,0.0725713479553747
"TUBGCP2",2.19788577479657e-06,0.919007021261091,0.302,0.239,0.0727741958892893
"RPS6KA4",2.19985332868898e-06,-1.12358656784096,0.055,0.114,0.0728393435662208
"GLUD1",2.2110619572312e-06,0.934935624100138,0.442,0.387,0.0732104724658823
"SLTM",2.21634987379935e-06,-0.365645839042076,0.311,0.426,0.0733855606713701
"BORCS7",2.22104275689601e-06,-0.749286593289908,0.101,0.173,0.073540946723584
"PDS5B",2.24347195533537e-06,-0.284659819022606,0.232,0.336,0.0742835999131093
"NDUFB7",2.28688612467427e-06,-0.348149720864141,0.265,0.384,0.0757210864740898
"TIMM23B",2.33164285604067e-06,-0.28747200752007,0.097,0.173,0.0772030266063627
"FBXL4",2.35863053414845e-06,-0.408945157565925,0.077,0.147,0.0780966156161894
"DCUN1D2",2.37060512751121e-06,-0.581446029845983,0.049,0.105,0.0784931063770236
"HTATSF1",2.40994415252849e-06,-0.656558479100156,0.066,0.129,0.0797956608343708
"RPN1",2.44483338764292e-06,-0.53228974100015,0.247,0.341,0.0809508782982448
"GCLC",2.44813648119355e-06,-0.495432766445665,0.074,0.141,0.0810602470287995
"PPP1R12C",2.45525963825912e-06,-0.523009389881952,0.063,0.125,0.0812961018823978
"ELK4",2.46340798881372e-06,-0.632508049819307,0.061,0.124,0.0815659019176112
"DOCK7",2.48987734771693e-06,0.974493722272445,0.347,0.287,0.0824423288602553
"LRBA",2.56910744833585e-06,-0.281042381957056,0.233,0.341,0.0850657167218485
"TMEM161B-DT",2.65020255381888e-06,-0.869685681259852,0.046,0.102,0.087750856759497
"TTC7A",2.65744836392257e-06,-0.501592197790123,0.147,0.231,0.0879907727778401
"OLA1",2.71903982786294e-06,-0.450619444524596,0.229,0.331,0.0900301277403699
"ZYG11B",2.72527493474062e-06,-0.483838465719742,0.126,0.207,0.0902365783641966
