"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TOLLIP",1.88936587769451e-12,-0.685913571312075,0.088,0.152,6.25587935763429e-08
"RRAGA",1.90310962445121e-12,-0.737200870576975,0.069,0.127,6.3013862775204e-08
"ETHE1",1.93505330946183e-12,-0.78080497569763,0.084,0.146,6.40715501295907e-08
"TWF2",1.99719607030137e-12,-0.729948294547345,0.151,0.227,6.61291590837485e-08
"SUCO",2.06186844021115e-12,0.974621888310681,0.288,0.212,6.82705259238315e-08
"LSM10",2.08251130110418e-12,-0.446792924564018,0.095,0.163,6.89540316908604e-08
"RSL1D1-DT",2.12855832884065e-12,1.35668320906933,0.122,0.06,7.04786948262427e-08
"LRIF1",2.13899206186188e-12,1.36824098412595,0.153,0.086,7.08241661603086e-08
"DCK",2.16454006541224e-12,-0.517201496565836,0.06,0.115,7.16700861058645e-08
"CCDC144BP",2.25001113472912e-12,1.57154266537923,0.121,0.06,7.45001186820159e-08
"DAGLB",2.26117814487389e-12,1.09024322452582,0.182,0.111,7.48698695549193e-08
"MCM5",2.35256801284581e-12,2.02078117264503,0.156,0.091,7.78958794733376e-08
"STT3B",2.4281184530146e-12,-0.310713296389205,0.29,0.404,8.03974300977664e-08
"ACAA2",2.44651898639888e-12,-0.447322268226457,0.107,0.177,8.10066901586534e-08
"ENSG00000284685",2.45999974235134e-12,-0.683586471854029,0.093,0.158,8.14530514689951e-08
"PIK3IP1",2.5118508448164e-12,1.35296365873693,0.14,0.076,8.3169893322716e-08
"RETREG2",2.51343735774755e-12,-0.64664594639604,0.06,0.114,8.32224243523791e-08
"SPG21",2.55158875296153e-12,-0.384014904491443,0.207,0.3,8.44856551993092e-08
"NT5C2",2.67517599793422e-12,-0.382521718499062,0.414,0.529,8.85777524676001e-08
"DDX39A",2.70225038142708e-12,1.12483738891256,0.282,0.215,8.94742123794321e-08
"LEPROTL1",2.70394810509131e-12,-0.432981882513613,0.153,0.232,8.95304257076783e-08
"MEF2C-AS1",2.73401617422488e-12,1.38615141234513,0.151,0.085,9.05260095447599e-08
"ETFA",2.74093090147309e-12,-0.326156041615269,0.248,0.355,9.07549630786756e-08
"COX16",2.95528712865315e-12,-0.60945860050071,0.153,0.232,9.78525121168344e-08
"EIF4E",3.01667301656909e-12,-0.723410882557848,0.227,0.319,9.98850602516191e-08
"BCKDK",3.10707785370331e-12,-0.860545863838203,0.089,0.151,1.0287845481397e-07
"TMEM205",3.12488543470216e-12,-0.594905563417615,0.097,0.163,1.03468081628423e-07
"MALT1",3.21735655802099e-12,-0.52579119525532,0.3,0.404,1.06529892992633e-07
"MBOAT1",3.33045162421459e-12,-0.627785271452912,0.132,0.205,1.10274583729369e-07
"GIMAP8",3.45165699522257e-12,-0.506155150784321,0.094,0.161,1.14287814768815e-07
"PABPC4",3.46073786719964e-12,0.682051831687517,0.424,0.361,1.14588491520847e-07
"RAP2A",3.54076663315761e-12,1.07286248864077,0.235,0.164,1.17238323990482e-07
"RFX7",3.70679925326671e-12,0.613827900806803,0.325,0.244,1.22735830074914e-07
"DDX18",3.75683367980226e-12,-0.296922061339203,0.205,0.302,1.24392519971932e-07
"PPP1R7",3.78111312546298e-12,-0.613642096770813,0.128,0.203,1.25196436697205e-07
"SNHG30",3.86517308176099e-12,1.49521754827334,0.124,0.062,1.27979745910188e-07
"STX16",3.86605370802927e-12,0.859469772152788,0.313,0.243,1.28008904326557e-07
"SLC39A1",3.8834956364567e-12,-0.53839108430627,0.092,0.155,1.28586424018718e-07
"KLHL18",3.89053416595233e-12,0.792392976458876,0.279,0.2,1.28819476768848e-07
"TMCC1",3.94375649472323e-12,0.474747281779203,0.504,0.436,1.30581721296781e-07
"BCAS2",3.96695079143307e-12,0.701507682323659,0.384,0.313,1.3134970765514e-07
"E2F3",3.99278776729767e-12,-0.452931253524291,0.196,0.286,1.32205195762993e-07
"SCARB1",4.0015941006109e-12,0.525147128025146,0.26,0.185,1.32496782265328e-07
"PALM2AKAP2",4.08720074098192e-12,0.666469649434953,0.274,0.192,1.35331303734652e-07
"BFAR",4.09027336421117e-12,-0.704765536121952,0.082,0.143,1.35433041362396e-07
"HRAS",4.11388893805388e-12,-0.837932708522324,0.052,0.102,1.36214976627902e-07
"GEM",4.14663429629165e-12,1.18631745953986,0.133,0.068,1.37299208184513e-07
"GGA2",4.31050778592256e-12,0.914850711444359,0.358,0.3,1.42725223299682e-07
"DNAJB4",4.34093532163499e-12,1.88293884396698,0.104,0.048,1.43732709434656e-07
"KDM2B",4.38865360733907e-12,0.778030382088758,0.303,0.227,1.45312709592604e-07
"EXD3",4.44145455329876e-12,1.79999783655147,0.11,0.053,1.47061001714275e-07
"PRRC2B",4.48384903760687e-12,0.709173293016397,0.348,0.281,1.48464725484201e-07
"KCNK6",4.5836976992731e-12,-0.387837026171431,0.097,0.163,1.51770814520632e-07
"SDHAF2",4.91202643953585e-12,-0.459535576084518,0.088,0.152,1.62642107439471e-07
"DOP1A",4.99406572878887e-12,0.953658435903957,0.231,0.158,1.65358510345928e-07
"TTBK2",5.00413868628220e-12,1.02270788633763,0.278,0.206,1.6569203604149e-07
"PLEKHJ1",5.09096003854858e-12,-0.357833363348925,0.071,0.129,1.68566777836382e-07
"ENSG00000273702",5.09700320873605e-12,1.84230286751331,0.118,0.059,1.68766873244459e-07
"FMNL1-DT",5.25059778896644e-12,0.891342054471657,0.201,0.126,1.73852543390468e-07
"MYO1C",5.43282220368767e-12,1.44791187221324,0.135,0.072,1.79886175986303e-07
"PLAUR",5.61500843979067e-12,-0.805345992295165,0.613,0.66,1.85918544449909e-07
"DGLUCY",5.67470918277886e-12,0.52698604112399,0.323,0.244,1.87895295750991e-07
"ZNF326",5.68858625564314e-12,1.09329091664564,0.213,0.142,1.883547795106e-07
"BLOC1S2",5.86011273332041e-12,-0.389745245234695,0.121,0.196,1.94034192712972e-07
"SDC4",5.88772030382519e-12,1.3833117401474,0.129,0.067,1.94948306979956e-07
"PKN2",6.10843566803672e-12,0.384845166801404,0.498,0.425,2.02256413404364e-07
"YIPF3",6.22181290793173e-12,-0.772109593431077,0.088,0.15,2.06010447194527e-07
"TPM4",6.25321568848784e-12,-0.416714593152205,0.475,0.568,2.07050224661521e-07
"ACAA1",6.47127542625227e-12,-0.497884948579545,0.145,0.221,2.14270400638639e-07
"SETD2",6.50190372253932e-12,0.466115705864474,0.474,0.411,2.15284534156999e-07
"TJP2",6.86158163207882e-12,-1.29781814191142,0.077,0.132,2.27193829419762e-07
"NDUFA5",6.95595895081678e-12,-0.39127054748723,0.127,0.202,2.30318756820494e-07
"EIF3D",7.01309691842311e-12,-0.385605817380423,0.22,0.313,2.32210652065908e-07
"ANKRD44",7.18723336719535e-12,0.339645735925182,0.641,0.59,2.37976484021205e-07
"EVI5",7.34776633046579e-12,-0.373872444506717,0.462,0.575,2.43291890968053e-07
"CCND3",7.48196333448167e-12,-0.618880315887351,0.151,0.229,2.47735287968022e-07
"TRMT1",7.53332462058993e-12,-0.317405871741086,0.095,0.161,2.49435911512353e-07
"NKTR",7.91356710609536e-12,0.48306032312992,0.459,0.39,2.62026120449924e-07
"GRN",8.0337594839219e-12,-0.380504417696222,0.571,0.675,2.66005810272138e-07
"DECR1",8.0888260334397e-12,-0.481090408081128,0.256,0.354,2.67829118793222e-07
"AK6",8.30236329835439e-12,-0.633358965724617,0.059,0.111,2.74899551171812e-07
"OGA",8.48615834697154e-12,0.691417158316497,0.393,0.323,2.80985189026575e-07
"ENSG00000291203",8.48803402657973e-12,1.00003001873854,0.224,0.152,2.81047294654081e-07
"ATP5MF",8.50940004350127e-12,-0.275741946612835,0.323,0.442,2.8175474484037e-07
"WDR47",8.5672746995734e-12,1.40167304856432,0.144,0.08,2.83671032577575e-07
"PSMB7",8.7335550832669e-12,-0.353169220959349,0.222,0.317,2.8917674236205e-07
"TBC1D5",8.82204810343942e-12,0.265341348498863,0.744,0.706,2.92106834752982e-07
"TMEM141",8.84928008401201e-12,-0.971056363948273,0.07,0.124,2.93008512861722e-07
"HPS3",8.90291553913783e-12,1.16004633831392,0.214,0.147,2.94784436416393e-07
"CDK4",9.26201605784167e-12,-0.701433850899308,0.066,0.12,3.06674613691195e-07
"SPG7",9.44646918235349e-12,0.661204228837183,0.321,0.244,3.12782041096906e-07
"CLPTM1L",9.56278121760283e-12,-0.545840033969031,0.112,0.181,3.16633248896047e-07
"IDH3G",9.58139987463387e-12,-0.734856493171654,0.136,0.209,3.17249731249002e-07
"WHRN",9.58271620569151e-12,1.22040763546521,0.125,0.064,3.17293316286651e-07
"NDUFB10",9.62864756699825e-12,-0.433844306248456,0.219,0.311,3.18814149590879e-07
"MAZ",9.84745789640876e-12,-0.703418669892773,0.124,0.195,3.2605917840799e-07
"PSMD4",9.86468422001057e-12,-0.317564071640142,0.197,0.288,3.2662955920877e-07
"EDEM3",9.955737991034e-12,-0.462216523311993,0.146,0.224,3.29644440621127e-07
"TCEAL8",1.0075123363319e-11,-0.402211278090137,0.083,0.143,3.33597409682854e-07
"ENSG00000270640",1.00989400062411e-11,-0.475462178720413,0.071,0.127,3.34386002546648e-07
"FXYD5",1.01539241468572e-11,-0.405974933869398,0.339,0.446,3.36206582426588e-07
"ARHGEF11",1.02982040551916e-11,0.853910764465286,0.316,0.244,3.4098383447145e-07
"SERPINE1",1.03183621744135e-11,2.59577617695806,0.14,0.08,3.41651289957005e-07
"OSTM1",1.07289763232405e-11,-0.402697778027755,0.162,0.245,3.55247135038815e-07
