"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AATK",1.24048606623863e-15,-0.762547047165339,0.055,0.12,4.10737341392274e-11
"RHOU",1.32769625119657e-15,-0.801410783874633,0.062,0.129,4.39613505733695e-11
"MORF4L2",1.36895952342322e-15,-0.466033320750439,0.274,0.394,4.53276187800661e-11
"ZFAND3",1.44717506979085e-15,-0.309126119322101,0.762,0.865,4.79174137358449e-11
"SRP14",1.45107185642398e-15,-0.305557217886031,0.502,0.665,4.80464402380545e-11
"P4HA1",1.46185376229572e-15,1.18889408376193,0.42,0.348,4.84034399233737e-11
"TAF7",1.48522829181881e-15,-0.324861125480567,0.151,0.25,4.91773939704125e-11
"USP3",1.50937492442046e-15,-0.471189572530042,0.355,0.482,4.99769131224858e-11
"GOLM1",1.52256532850447e-15,-0.978519015397142,0.047,0.106,5.04136605921113e-11
"RPL22L1",1.548808692947e-15,-0.552599216904979,0.188,0.293,5.12826046321682e-11
"NCOA1",1.66068771806543e-15,-0.341090037432523,0.428,0.552,5.49870310328644e-11
"MAN2A1",1.67755085585842e-15,-0.449229535161613,0.291,0.414,5.5545386388328e-11
"EIF4G2",1.95917706867587e-15,-0.295289383699886,0.4,0.541,6.48703119209268e-11
"THEMIS2",1.9625714304507e-15,-0.569989555609368,0.248,0.363,6.49827026336531e-11
"FEM1C",1.96726333828627e-15,-0.561431949086621,0.062,0.131,6.51380563939967e-11
"SCIMP",2.09665402337658e-15,-0.495175915638501,0.131,0.223,6.9422311368022e-11
"VAMP5",2.10503441857685e-15,-0.600553914673122,0.24,0.361,6.96997946334979e-11
"TOMM7",2.14102196921805e-15,-0.274589118847976,0.315,0.458,7.08913784227789e-11
"ABHD17A",2.19402290210545e-15,-0.478372485132769,0.13,0.22,7.26462923116136e-11
"EPAS1",2.28055277908998e-15,-0.927207506107458,0.111,0.194,7.55113830684483e-11
"IL1B",2.40840093787248e-15,-1.66331772667563,0.263,0.336,7.97445634538958e-11
"C5AR2",2.4260072087132e-15,-0.688025340284227,0.067,0.137,8.03275246877028e-11
"NUP58",2.48964620485437e-15,-0.37106880639861,0.218,0.333,8.24346754889329e-11
"RNPS1",2.55443243321686e-15,-0.453768028931829,0.157,0.255,8.45798122962433e-11
"IFIH1",2.59229045260028e-15,1.21610056904364,0.241,0.152,8.58333291760478e-11
"KLF10",2.9364640799641e-15,-0.50764239548439,0.18,0.28,9.72292621516912e-11
"DPH3",3.10339686106597e-15,-0.846449254141849,0.082,0.157,1.02756573466755e-10
